catalog_no,title,author_name,published_year,pages,language,status,Source,category1,category2
S0001,දීඝ නිකාය 1 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0002,දීඝ නිකාය 2 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0003,මජ්ඣිම නිකාය 1 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0004,මජ්ඣිම නිකාය 2 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0005,මජ්ඣිම නිකාය 3 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0006,මජ්ඣිම නිකාය 4 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0007,සංයුත්ත නිකාය 1 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0008,සංයුත්ත නිකාය 2 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0009,සංයුත්ත නිකාය 3 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0010,අංගුත්තර නිකාය 1 -අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0011,අංගුත්තර නිකාය 2 -අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0012,ඛුද්දක පාඨ - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0013,ධම්මපද අටුවාව 01 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0014,ධම්මපද අටුවාව 02 අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0015,උදානපාළි අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0016,ඉතිවුත්තක අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0017,සුත්ත නිපාත අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0018,විමානවත්ථු අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0019,පේතවත්ථු අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0020,ථේරගාථා අටුවාව - පාළි 1,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0021,ථේරගාථා අටුවාව - පාළි 2,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0022,ථෙරිගාථා අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0023,ආපදානපාලි අටුවාව - පාළි 01,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0024,ආපදානපාලි අටුවාව - පාළි 02,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0025,බුද්ධවංස අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0026,චරියාපිටක අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0027,ජාතක පාළි 1 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0028,ජාතක පාළි 2 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0029,ජාතක පාළි 3 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0030,ජාතක පාළි 4 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0031,ජාතක පාළි 5 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0032,ජාතක පාළි 6 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0033,ජාතක පාළි 7 - අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0034,මහා නිද්දේස පාළි අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0035,චූල නිද්දේස පාළි අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0036,පටිසම්භිදාමග්ගප්පකරණ අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0037,නෙත්තිප්පකරණ අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0038,සුත්තසංගහ අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
S0039,චතුභාණවාර අටුවාව - පාළි,හේවාවිතාරණ අටුවා,,,Pali,Full,Path Nirwana,සූත්‍ර,පාලි අට්ටකතා
A0044,අභිධර්මය - චතුර්ථ භාගය,දෙවිනුවර ඤාණාවාස හිමි,1953-01-01,188,Sinhala,Full,Na uyana,අභිධර්ම,අභිධර්ම
A0045,පට්ඨානඋද්දේසදිපනිය,බලන්ගොඩ ආනන්දමෛත්‍රිය නා හිමි,1962-01-01,105,Sinhala,Full,Na uyana,අභිධර්ම,අභිධර්ම
A0046,අභිධම්මාවතාරය,පොල්වත්තේ බුද්ධදත්ත හිමි,1954-01-01,274,Sinhala,Full,Na uyana,අභිධර්ම,අභිධර්ම
A0047,අභිධම්ම මාතෘකා ස්වරුපය,පොල්වත්තේ බුද්ධදත්ත හිමි,1911-01-01,98,Sinhala,Full,Na uyana,අභිධර්ම,අභිධර්ම
A0048,පරමාර්ථප්‍රදීප අභිධර්මර්ත සංග්‍රහ සන්නය,දෙහිගස්පේ පියදස්සි හිමි,1931-01-01,568,Sinhala,Full,Na uyana,අභිධර්ම,අභිධර්ම
A0049,සද්ධර්ම මධුව,පානදුරේ සෝමරතන හිමි,,27,Sinhala,Full,Na uyana,අභිධර්ම,අභිධර්ම
A0050,පංචප්පකරණ අටුවාව - පාළි 1,හේවාවිතාරණ අටුවා,2010-01-01,234,Pali,Full,Path Nirwana,අභිධර්ම,පාලි අට්ටකතා
A0051,පංචප්පකරණ අටුවාව - පාළි 2,හේවාවිතාරණ අටුවා,2010-01-01,198,Pali,Full,Path Nirwana,අභිධර්ම,පාලි අට්ටකතා
A0052,අත්ථසාලිනි ධම්මසංගණී අටුවාව - පාළි,හේවාවිතාරණ අටුවා,1940-01-01,395,Pali,Full,Path Nirwana,අභිධර්ම,පාලි අට්ටකතා
A0053,සම්මෝහවිනොදනි විභංග අටුවාව - පාළි,හේවාවිතාරණ අටුවා,1932-01-01,391,Pali,Full,Path Nirwana,අභිධර්ම,පාලි අට්ටකතා
P0001,ත්‍රිභාෂාරත්නාකරය,පොල්වත්තේ බුද්ධදත්ත හිමි,1927-01-01,150,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0002,පඨමපාඨාවලී,පොල්වත්තේ බුද්ධදත්ත හිමි,1958-01-01,83,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0003,පාලිහුරුව කියවීම පොත,බලංගොඩ ඤාණවිහාරි හිමි,,388,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0004,පාලිහුරුව වන්දනා පොත,බලංගොඩ ඤාණවිහාරි හිමි,,129,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0005,පාලිහුරුව පාඩම් පොත,බලංගොඩ ඤාණවිහාරි හිමි,,174,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0006,කථාසල්ලාපසික්ඛා හෙවත් පාළි කථා පුහුණුව,බුරුමයේ ජනකාභිවංස හිමි,,186,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0007,පාලිභාෂාවතරණය 1,පොල්වත්තේ බුද්ධදත්ත හිමි,2007-01-01,139,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0008,පාලිභාෂාවතරණය 2,පොල්වත්තේ බුද්ධදත්ත හිමි,2007-01-01,239,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0009,පාලිභාෂාවතරණය 3,පොල්වත්තේ බුද්ධදත්ත හිමි,2007-01-01,232,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0010,පාලිභාෂාව,වේරගොඩ අමරමෝලි හිමි,1995-01-01,250,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0011,පාලිභාෂාවතරණයතුර,මලලගම සුමනනන්ද හිමි,1948-01-01,71,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0012,පාළිපාඨාවලී,පොල්වත්තේ බුද්ධදත්ත හිමි,2008-01-01,142,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0013,පාළිපාඨාවලී,පොල්වත්තේ බුද්ධදත්ත හිමි,2008-01-01,136,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0014,සරල පාලි ප්‍රවේශය,බළන්ගොඩ ආනන්ද මෛත්‍රිය හිමි,1993-01-01,286,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0015,සරල පාලි ශික්ෂකය,බළන්ගොඩ ආනන්ද මෛත්‍රිය හිමි,1972-01-01,252,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0016,අභිධානප්පදීපිකා සුචි,වස්කඩුවේ සුභූති හිමි,1893-01-01,564,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0017,අභිධානප්පදීපිකා හෙවත් පාලිනිඝණ්ඩු,රඹුක්වැල්ලේ විපස්සි හිමි,1997-01-01,326,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0018,අභිධානප්පදීපිකා හෙවත් පාලිනිඝණ්ඩු 01 Edition,වස්කඩුවේ සුභූති හිමි,1883-01-01,381,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0018,අභිධානප්පදීපිකා හෙවත් පාලිනිඝණ්ඩු 02 Edition,වස්කඩුවේ සුභූති හිමි,1883-01-01,384,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0018,අභිධානප්පදීපිකා හෙවත් පාලිනිඝණ්ඩු 03 Edition,වස්කඩුවේ සුභූති හිමි,1900-01-01,288,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0018,අභිධානප්පදීපිකා හෙවත් පාලිනිඝණ්ඩු 05;01 Edition,වස්කඩුවේ සුභූති හිමි,1900-01-01,283,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0018,අභිධානප්පදීපිකා හෙවත් පාලිනිඝණ්ඩු 01; 02 Edition,වස්කඩුවේ සුභූති හිමි,1900-01-01,284,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0019,කාත්‍යායන ෂඩාකාර වර්‍ණණනාව,නැබොඩ සීලරතන හිමි/ උරුගොඩ ඤානිස්සර හිමි,1928-01-01,72,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0020,සන්න සහිත කච්චායනසාරය,වැලිතොට ඤාණතිලකතිස්ස හිමි,1892-01-01,54,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0021,ආඛ්‍යාත නය දීපනී,ගල්වෙහෙර අරියඤාණ හිමි,1936-01-01,137,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0022,සන්න සහිත කච්චායන ධාතු මඤ්ජූසාව,ධම්මසිරි හිමි,,54,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0023,කච්චායන නාමික රූපමාලා ආඛ්‍යාත රූපමාලා,ධම්මකිත්ති ධම්මාරාම හිමි,1950-01-01,70,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0024,එකක්ඛර කෝසය,වැලිතොට ඤාණතිලකතිස්ස හිමි,1886-01-01,122,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0025,සන්න සහිත කච්චායන භේදය,කොස්ගොඩ පඤ්ඤාරාම හිමි,1912-01-01,105,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0026,පද සිඬි විග්‍රහ සහිත කාත්‍යායන සන්නය 01,හල්තොට ගිරිමානන්ද හිමි/ අරියජෝති හිමි,1911-01-01,178,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0026,පද සිඬි විග්‍රහ සහිත කාත්‍යායන සන්නය 02,හල්තොට ගිරිමානන්ද හිමි/ අරියජෝති හිමි,1911-01-01,169,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0027,කච්චායන සූත්‍ර පාඨය - සන්න සහිත 1St Edition,ගුණරතන හිමි හා සුමතිපාල හිමි,1904-01-01,206,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0027,කච්චායන සූත්‍ර පාඨය - සන්න සහිත 2nd Edition,ගුණරතන හිමි හා සුමතිපාල හිමි,1925-01-01,212,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0028,කච්චායනවණණනා,බුස්සේගම පඤ්ඤාලංකාර හිමි හා හික්කඩුවේ සුමනසාර හිමි,1905-01-01,506,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0028,කච්චායනවණණනා,බුස්සේගම පඤ්ඤාලංකාර හිමි හා හික්කඩුවේ සුමනසාර හිමි,1905-01-01,491,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0029,කච්චායනව්‍යාකරණං,,,50,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0030,කච්චායනව්‍යාකරණං,ගුණරතන හිමි,1886-01-01,148,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0031,කච්චායනව්‍යාකරණං,ගුණරතන හිමි,1913-01-01,146,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0032,කච්චායන භෙදො,මාතර ධම්මවංශ හිමි ලද්දුව සෝමරත්න හිමි,1906-01-01,162,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0033,භාවාර්ථ කෞමුදී කාත්‍යායනභෙද වර්ණනාව,පාරුතොට ධම්මාරාම හිමි,,60,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0034,කච්චායන භෙදො,,1886-01-01,22,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0035,කච්චායන විග්‍රහ ටීකා,වෙලගෙදර සිරි සුමේධතිස්ස හිමි,,112,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0036,කච්චායන සුත්ත නිද්දෙසො.,,,144,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0037,කච්චායනවුත්ති,ධම්මකිත්ති ධම්මාරාම හිමි,1904-01-01,152,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0038,පාලි නාම වරනැගිල්ල සහ ආඛ්‍යාත වරනැගිල්ල,,1873-01-01,88,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0039,නාමමාලා හෙවත් නාම වරනැගිල්ල,වස්කඩුවේ ශ්‍රී සුභූති හිමි,1876-01-01,341,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0039,නාම මාලා,වස්කඩුවේ ශ්‍රී සුභූති හිමි,1965-01-01,415,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0040,පදසාධන සන්නය,ශ්‍රී ධම්මානන්ද,1932-01-01,366,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0041,පදසාධනය,පියදස්සි හිමි,1905-01-01,210,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0042,බුද්ධිප්පසාදිනි පදසාධනටීකා,ධිරානනද හිමි හා වාචිස්සර හිමි,1908-01-01,138,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0043,කච්චායන ධාතු මඤ්ජූසාව,බටුවන්තුඩාවේ පඬිතුමා,1891-01-01,58,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0044,පාලි ව්‍යාකරණ සමාලෝචනා,අඹන්පොල ඤාණවිමල හිමි,1953-01-01,116,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0045,පාලිගද්‍යපද්‍යරචනා,පොල්වත්තේ බුද්ධදත්ත හිමි,1962-01-01,156,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0046,පාලිවාක්‍යවිවේචනය,පොල්වත්තේ බුද්ධදත්ත හිමි,1933-01-01,112,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0047,පාලි පදාවතාරය,වැලිවිටියේ සෝරත හිමි,1937-01-01,127,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0048,පාළි නාමපද මාලාව සහ ආඛ්‍යාත නාමපද මාලාව,හික්කඩුවේ ශ්‍රී සුමංගල නා හිමි,1948-01-01,84,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0049,ආඛ්‍යාත පදය,හික්කඩුවේ ශ්‍රී සුමංගල නා හිමි,1889-01-01,62,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0050,පාලිවාක්‍යරචනාව සහ පරිවර්තනපරිචය,පොල්වත්තේ බුද්ධදත්ත හිමි,1947-01-01,136,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0051,පාවචනොපායනී මාගධීපණ්ණිකා (ප්‍රථම - ද්විතීය භාගය),විලේගොඩ ධම්මානන්ද හිමි,1912-01-01,252,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0052,බාලපපබොධනං,ධම්මරතන හිමි,1887-01-01,60,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0053,පාළිපාඨ මඤ්ජරී නවීන භාගය,කහඳාමෝදර පියරතන හිමි,1980-01-01,68,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0054,ශ්‍රීඃ බාලාවබොධනය,දිඹුලාගල මහා කාශ්යප - සීලක්ඛන්ධ හිමි,1924-01-01,426,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0055,බාලාවතාරො - සුබොධිකාය ටීකාය 1st Edition,හික්කඩුවේ ශ්‍රී සුමංගල නා හිමි,1892-01-01,350,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0055,බාලාවතාරො - සුබොධිකාය ටීකාය 2nd Edition,හික්කඩුවේ ශ්‍රී සුමංගල නා හිමි,1913-01-01,344,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0056,බාලාවතාර පුච්ඡාවිස්සජ්ජනං,කේ ජෝතිරතන හිමි,1915-01-01,422,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0057,බාලාවතාර ටීකා,උත්තම මංගල බුද්ධඝෝෂ හිමි,1901-01-01,74,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0058,සන්න සහිත නාමපද මාලාව සහ ආඛ්‍යාතපද මාලාව,,1907-01-01,80,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0059,බාලාවතාරො,,,86,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0060,බාලාවතාරො,ඒ සාරානන්ද හිමි,1901-01-01,100,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0061,බාලාවතාරො,ධම්මකිත්ති ධම්මාරාම හිමි,1902-01-01,94,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0062,බාලාවතාර ව්‍යාඛ්‍යා - බාලාවබොධිනී - (2),,,199,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0063,සත්‍යාවතාරය,කේ එස් කිර්තිරතන හිමි,1903-01-01,28,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0064,තත්ව දීපිකා නම් වූ බාලාවතාර වර්‍ණණනාව - 1st Edition,යගිරල පඤ්ඤානන්ද හිමි,1928-01-01,662,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0064,තත්ව දීපිකා නම් වූ බාලාවතාර වර්‍ණණනාව - 2nd Edition,යගිරල පඤ්ඤානන්ද හිමි,1934-01-01,634,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0065,බාලාවතාර සුගණඨිසාරය,කහවේ රතනසාර හිමි,1905-01-01,116,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0066,බාලාවතාර ගඩලාදෙනි සන්නය,,1917-01-01,202,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0067,ගඩලාදෙණි සන්නයයි,හික්කඩුවේ ශ්‍රී සුමංගල නා හිමි,1877-01-01,210,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0068,බාලාවතාර සුගම සන්නය,,,171,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0069,බාලාවතාර සූත්‍ර නිර්‍දෙදශය 1st Edition,බටුවන්තුඩාවේ පඬිතුමා,1986-01-01,112,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0069,බාලාවතාර සූත්‍ර නිර්‍දෙදශය 2nd Edition,බටුවන්තුඩාවේ පඬිතුමා,1915-01-01,94,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0070,බාලාවතාර බලනසන්නය,එල්ලාවල සංකිච්ච හිමි,1899-01-01,206,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0070,බාලාවතාර බලනසන්නය,එල්ලාවල සංකිච්ච හිමි,1899-01-01,206,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0071,ඔකොඳපොල සන්නය හෙවත් බාලාවතාර ලියන සන්නය,බටුවන්තුඩාවේ පඬිතුමා,1888-01-01,150,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0072,ඔකඳපොල සන්නය නමින් ප්‍රසිද්ධ බාලාවතාර ලියන සන්නය,බද්දේගම ශ්‍රී කිර්තිරතන හිමි,1927-01-01,144,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0073,බාලාවතාර සුත්‍ර වර්ණනාව,වැලිතර ඤාණවිමල හිමි,1914-01-01,468,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0074,මහාරූපසිද්ධි,ධම්මකිත්ති ධම්මාරාම හිමි,1915-01-01,326,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0075,මහාරූපසිද්ධි - සන්දේහවිඝාතනී සන්නය,බද්දේගම ධම්මරතන හිමි,1936-01-01,686,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0076,මහා රුපසිද්ධි හා මහා රුප සිද්ධි ටිකාව,කළුකොන්දයාවේ පඤ්ඤාසේකර හිමි,1964-01-01,464,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0077,මහාරූපසිද්ධි ටීකා,තංගල්ලේ පාලිත හිමි,1903-01-01,138,Pali,partial,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0078,මහාරූපසිද්ධි සන්නය 1st Edition,මැදගම සුමංගල/ බද්දේගම ධම්මරතන හිමි,1891-01-01,460,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0078,මහාරූපසිද්ධි සන්නය 2nd Edition,බද්දේගම ධම්මරතන හිමි,1926-01-01,460,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0079,මහාරූපසිද්ධි සන්නය,දෙහිගස්පේ පඤ්ඤාසාර හිමි,1927-01-01,504,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0080,මහාසදදනීතිපපකරණං,අරුග්ගොඩ සීලානන්ද හිමි,1909-01-01,920,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0081,රූපසිද්ධි ප්‍රමොදිනී,පරදුවේ පදුමජෝති හිමි/ලේල්වල අරියජෝති හිමි,1954-01-01,374,Pali,Full,Path Nirwana,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0082,මුඛමත්තදීපනී,ධම්මරතන හිමි,1910-01-01,664,Pali,Full,Archive.org,පාළි ව්‍යාකරණ,පාලි භාෂාව
P0083,මුඛමත්තදීපනී (සන්න සහිත),,,527,Pali,Full,Na uyana,පාළි ව්‍යාකරණ,පාලි භාෂාව
